id,nazwisko,pensja,stanowisko
17987,Tkaczyk,10067,Data Analyst
17988,Maćkowiak,17247,Software Engineer
17989,Furman,13000,Software Engineer
17990,Wróbel,15845,Software Engineer
17991,Lach,12106,Data Engineer
17992,Kujawski,13711,Data Analyst
17993,Mach,23252,Senior Data Engineer
17994,Chmielewski,15978,Software Engineer
17995,Grabowski,16255,Software Engineer
17996,Wróbel,7455,Junior Data Engineer
17997,Szczepanik,23616,Senior Data Engineer
17998,Szczepański,13224,Data Engineer
17999,Szulc,17635,Software Engineer
18000,Jezierski,25368,Senior Data Engineer
18001,Makowski,8430,Junior Data Engineer
18002,Witkowski,19842,Senior Data Engineer
18003,Krawczyk,11276,Data Analyst
18004,Krupa,10117,Data Analyst
18005,Krajewski,13747,Project Manager
18006,Tkaczyk,20565,Senior Data Engineer
18007,Leśniak,14704,DevOps Engineer
18008,Jóźwiak,13727,Data Analyst
18009,Frankowski,11607,Data Analyst
18010,Zieliński,10893,Data Analyst
18011,Krupa,20925,Senior Data Engineer
18012,Kucharski,12981,Software Engineer
18013,Maj,6996,HR Specialist
18014,Adamski,15089,Software Engineer
18015,Kuśnierz,10083,Data Analyst
18016,Zalewski,12096,Data Engineer
18017,Drzewiecki,11392,Data Analyst
18018,Nowak,15234,Project Manager
18019,Koral,12225,Project Manager
18020,Dąbrowski,7932,Junior Data Engineer
18021,Lipiński,14877,Project Manager
18022,Witkowski,10617,Data Analyst
18023,Sobczak,21644,Senior Data Engineer
18024,Jurek,11566,Project Manager
18025,Pietrzak,10961,Data Engineer
18026,Kucharski,7036,Junior Data Engineer
18027,Czajka,19559,Senior Data Engineer
18028,Lach,9974,Software Engineer
18029,Tkaczyk,12527,Data Engineer
18030,Nowakowski,8151,Data Analyst
18031,Śliwa,10487,Data Analyst
18032,Koral,10066,Data Engineer
18033,Nowak,16986,Project Manager
18034,Lewandowski,16892,Project Manager
18035,Dąbrowski,11562,Data Engineer
18036,Kuczyński,10478,Software Engineer
18037,Sobczak,11419,Data Analyst
18038,Kmiecik,12634,DevOps Engineer
18039,Krajewski,25631,Senior Data Engineer
18040,Majewski,25064,Senior Data Engineer
18041,Laskowski,15524,Project Manager
18042,Kłos,8383,Junior Data Engineer
18043,Lach,15914,Data Engineer
18044,Sikorski,12015,Project Manager
18045,Staszewski,21401,Senior Data Engineer
18046,Wojciechowski,19004,DevOps Engineer
18047,Czajka,12065,DevOps Engineer
18048,Witkowski,15900,Data Engineer
18049,Czajka,7955,Junior Data Engineer
18050,Kępa,6728,Junior Data Engineer
18051,Madej,24356,Senior Data Engineer
18052,Rutkowski,11263,Project Manager
18053,Idzik,16543,Project Manager
18054,Idzik,6562,HR Specialist
18055,Hajduk,21520,Senior Data Engineer
18056,Madej,21339,Senior Data Engineer
18057,Jankowski,7485,Junior Data Engineer
18058,Szczepanik,10265,Data Analyst
18059,Skiba,17902,Software Engineer
18060,Kulig,15250,Software Engineer
18061,Kozak,12366,Project Manager
18062,Kujawski,10116,Data Analyst
18063,Gruszka,8864,Junior Data Engineer
18064,Gwóźdź,18705,Senior Data Engineer
18065,Król,13824,Data Engineer
18066,Kogut,14582,Data Engineer
18067,Kłos,13504,DevOps Engineer
18068,Lach,16528,Project Manager
18069,Wrona,17117,DevOps Engineer
18070,Wasilewski,8677,Junior Data Engineer
18071,Kwiatkowski,22161,Senior Data Engineer
18072,Ciesielski,13376,DevOps Engineer
18073,Kołek,10141,Data Engineer
18074,Sobolewski,25486,Senior Data Engineer
18075,Jankowski,15255,DevOps Engineer
18076,Wilk,9901,Software Engineer
18077,Krupa,12594,Data Engineer
18078,Janus,13647,Data Engineer
18079,Tomaszewski,10162,Project Manager
18080,Klimas,15509,Data Engineer
18081,Domagała,10394,Data Analyst
18082,Kurek,15516,Data Engineer
18083,Kupiec,11542,Data Engineer
18084,Płonka,6903,Junior Data Engineer
18085,Lipiński,13217,Data Engineer
18086,Jóźwiak,11456,Project Manager
18087,Jezierski,8224,Junior Data Engineer
18088,Kogut,10313,Data Analyst
18089,Jóźwiak,7662,HR Specialist
18090,Jankowski,12349,Data Engineer
18091,Sobczak,5756,HR Specialist
18092,Madejski,10686,Data Engineer
18093,Krajewski,12526,Project Manager
18094,Jezierski,19158,DevOps Engineer
18095,Bieniek,15124,DevOps Engineer
18096,Zieliński,11884,Project Manager
18097,Jarosz,11555,Project Manager
18098,Kubala,14253,Project Manager
18099,Kasprzak,12765,Data Engineer
18100,Zięba,11374,Project Manager
18101,Kłos,13587,Data Analyst
18102,Kuśnierz,16063,DevOps Engineer
18103,Kucharz,10852,Data Engineer
18104,Lipka,10096,Data Engineer
18105,Karpiński,10293,Data Engineer
18106,Kwiatkowski,13918,Data Engineer
18107,Witkowski,15344,Software Engineer
18108,Czajkowski,12566,Data Analyst
18109,Lis,13585,Data Analyst
18110,Drzewiecki,6591,Junior Data Engineer
18111,Kupiec,17949,Senior Data Engineer
18112,Kozak,16447,DevOps Engineer
18113,Kogut,10908,Software Engineer
18114,Kucharski,12488,Data Engineer
18115,Kasperek,12893,Data Analyst
18116,Madejski,11201,Data Engineer
18117,Klimas,12432,Data Engineer
18118,Woźniak,10638,Project Manager
18119,Ciesielski,7354,HR Specialist
18120,Lach,6057,Junior Data Engineer
18121,Kuciński,20634,Senior Data Engineer
18122,Krupa,12113,Data Engineer
18123,Kołek,12991,DevOps Engineer
18124,Klimek,17801,Senior Data Engineer
18125,Sikorski,23364,Senior Data Engineer
18126,Kapusta,20247,Senior Data Engineer
18127,Chmielewski,7223,HR Specialist
18128,Zięba,14531,Data Engineer
18129,Kuśnierz,15376,DevOps Engineer
18130,Mach,7930,HR Specialist
18131,Sobczak,18084,DevOps Engineer
18132,Łukasik,14509,Software Engineer
18133,Zając,18970,Senior Data Engineer
18134,Szewczyk,19061,Senior Data Engineer
18135,Kisiel,11709,Data Engineer
18136,Łuczak,7251,HR Specialist
18137,Włodarczyk,14115,Data Engineer
18138,Piotrowski,16206,Project Manager
18139,Gruszka,7045,HR Specialist
18140,Idzik,5571,HR Specialist
18141,Kaczmarek,14946,Software Engineer
18142,Wojciechowski,6741,HR Specialist
18143,Pawlak,14104,Project Manager
18144,Bieniek,15423,Data Engineer
18145,Gałązka,24041,Senior Data Engineer
18146,Wiśniewski,15614,DevOps Engineer
18147,Dziedzic,15088,Data Engineer
18148,Zięba,17839,Senior Data Engineer
18149,Sawicki,8612,Junior Data Engineer
18150,Pawlak,15440,Data Engineer
18151,Lipiński,8571,Junior Data Engineer
18152,Sobolewski,6127,HR Specialist
18153,Makowski,10794,Project Manager
18154,Krakowiak,14239,Project Manager
18155,Lipka,15834,DevOps Engineer
18156,Zając,11987,DevOps Engineer
18157,Malinowski,10834,Software Engineer
18158,Lipski,14299,Software Engineer
18159,Zając,12396,DevOps Engineer
18160,Borkowski,10892,Data Analyst
18161,Jasiński,8623,Data Analyst
18162,Maćkowiak,10699,Data Engineer
18163,Piotrowski,13271,Data Analyst
18164,Kuczyński,13632,Project Manager
18165,Jurek,8342,Data Analyst
18166,Iskra,7539,HR Specialist
18167,Kostrzewa,11720,Software Engineer
18168,Pietrzak,23693,Senior Data Engineer
18169,Rutkowski,17432,Software Engineer
18170,Łuczak,17340,Software Engineer
18171,Kosiński,6089,Junior Data Engineer
18172,Maj,17747,DevOps Engineer
18173,Idzik,11860,Data Engineer
18174,Szewczyk,6752,Junior Data Engineer
18175,Stępień,22801,Senior Data Engineer
18176,Kałuża,12993,Data Engineer
18177,Głowacki,19515,Senior Data Engineer
18178,Karaś,12220,Data Analyst
18179,Garbacz,11729,DevOps Engineer
18180,Staszewski,11452,Data Analyst
18181,Godlewski,5085,HR Specialist
18182,Baran,12225,DevOps Engineer
18183,Adamczyk,17873,Software Engineer
18184,Kaczor,6303,Junior Data Engineer
18185,Kasperek,14951,Project Manager
18186,Włodarczyk,15942,Software Engineer
18187,Kulig,11925,Project Manager
18188,Kobus,8024,Junior Data Engineer
18189,Gacek,18118,DevOps Engineer
18190,Lorenc,6358,HR Specialist
18191,Filipek,13603,DevOps Engineer
18192,Kmiecik,7335,HR Specialist
18193,Kujawa,12467,Data Analyst
18194,Staszewski,19925,DevOps Engineer
18195,Kujawski,17243,DevOps Engineer
18196,Kuś,12006,Project Manager
18197,Wilk,17328,DevOps Engineer
18198,Kozak,11865,Software Engineer
18199,Kaczmarek,6218,HR Specialist
18200,Lewandowski,7342,HR Specialist
18201,Kujawa,10744,Project Manager
18202,Małecki,14520,Project Manager
18203,Zawadzki,10583,Project Manager
18204,Dąbrowski,5514,HR Specialist
18205,Garbacz,12607,Data Engineer
18206,Filipek,5894,HR Specialist
18207,Kogut,17983,Software Engineer
18208,Sobczak,8434,Junior Data Engineer
18209,Kozak,24551,Senior Data Engineer
18210,Michalski,12646,Data Analyst
18211,Grabowski,8635,Data Analyst
18212,Klimek,7253,HR Specialist
18213,Wrona,10545,Data Analyst
18214,Hajduk,20571,Senior Data Engineer
18215,Sadowski,17340,DevOps Engineer
18216,Kopeć,5054,HR Specialist
18217,Wojciechowski,12261,Software Engineer
18218,Sawicki,11167,Data Engineer
18219,Gąsior,15367,Software Engineer
18220,Walczak,8007,Junior Data Engineer
18221,Kujawski,13552,Data Engineer
18222,Grabowski,14164,Project Manager
18223,Krakowiak,13800,Data Analyst
18224,Górski,15136,Software Engineer
18225,Idzik,24321,Senior Data Engineer
18226,Kubat,14700,Software Engineer
18227,Krupa,10259,Data Engineer
18228,Król,6308,HR Specialist
18229,Kowalczyk,21525,Senior Data Engineer
18230,Małecki,14469,Software Engineer
18231,Kogut,19369,DevOps Engineer
18232,Majewski,10569,Project Manager
18233,Maj,15385,Software Engineer
18234,Bednarek,15543,DevOps Engineer
18235,Godlewski,13237,Data Engineer
18236,Knap,18886,Senior Data Engineer
18237,Jezierski,7329,HR Specialist
18238,Kuc,14990,DevOps Engineer
18239,Płonka,15398,Project Manager
18240,Malik,12095,Data Engineer
18241,Nowak,12118,Software Engineer
18242,Szewczyk,10659,Project Manager
18243,Lipiński,11854,Data Analyst
18244,Adamczyk,13210,Project Manager
18245,Walczak,10004,Software Engineer
18246,Głowacki,7555,Junior Data Engineer
18247,Kwiecień,11699,Data Analyst
18248,Kozieł,21994,Senior Data Engineer
18249,Nowicki,13837,Project Manager
18250,Mikołajczyk,13537,Data Engineer
18251,Witkowski,14377,Data Engineer
18252,Krajewski,8199,Junior Data Engineer
18253,Czajka,7725,HR Specialist
18254,Kopeć,24205,Senior Data Engineer
18255,Adamski,15300,Software Engineer
18256,Jabłoński,15118,DevOps Engineer
18257,Sikora,15965,DevOps Engineer
18258,Kot,13572,Project Manager
18259,Wasilewski,21483,Senior Data Engineer
18260,Borkowski,10186,Project Manager
18261,Prus,8234,Data Analyst
18262,Dziedzic,11020,Data Engineer
18263,Kostrzewa,12932,Data Engineer
18264,Kuś,22305,Senior Data Engineer
18265,Maciejewski,11248,Data Engineer
18266,Maćkowiak,6469,HR Specialist
18267,Kuczyński,6321,HR Specialist
18268,Laskowski,13819,Data Engineer
18269,Kołek,12641,Project Manager
18270,Baranowski,7537,HR Specialist
18271,Gwóźdź,15416,Data Engineer
18272,Klimek,14452,Software Engineer
18273,Kamiński,15160,Software Engineer
18274,Sobolewski,13973,Data Engineer
18275,Gałązka,11022,DevOps Engineer
18276,Godlewski,12577,Data Analyst
18277,Staszewski,14175,Project Manager
18278,Kobus,13478,Software Engineer
18279,Michalski,13114,DevOps Engineer
18280,Mróz,10216,Data Engineer
18281,Jarosz,6964,HR Specialist
18282,Kubica,12406,Data Analyst
18283,Sawicki,11659,Data Engineer
18284,Karaś,11779,Data Analyst
18285,Kozieł,7251,Junior Data Engineer
18286,Kuciński,13674,Data Engineer
18287,Lach,11691,DevOps Engineer
18288,Adamski,15908,Data Engineer
18289,Kujawa,11168,Data Analyst
18290,Pawlak,24872,Senior Data Engineer
18291,Kołek,12878,Data Analyst
18292,Maj,7049,HR Specialist
18293,Kostrzewa,5067,HR Specialist
18294,Kołodziej,9862,Software Engineer
18295,Krajewski,17331,Software Engineer
18296,Pałka,18552,DevOps Engineer
18297,Zawadzki,10304,Data Engineer
18298,Sadowski,14702,DevOps Engineer
18299,Kasperek,25139,Senior Data Engineer
18300,Kurek,8897,Junior Data Engineer
18301,Tkaczyk,7611,Junior Data Engineer
18302,Kuś,18134,DevOps Engineer
18303,Krawczyk,21081,Senior Data Engineer
18304,Śliwa,13448,Software Engineer
18305,Drzewiecki,7594,Junior Data Engineer
18306,Witkowski,23594,Senior Data Engineer
18307,Kosowski,10489,Project Manager
18308,Kaczmarek,17509,Senior Data Engineer
18309,Krupa,10867,Data Analyst
18310,Janus,12650,Data Engineer
18311,Bieniek,18869,DevOps Engineer
18312,Klimek,13546,Software Engineer
18313,Gałązka,12341,Data Engineer
18314,Walczak,7283,HR Specialist
18315,Sroka,9491,Software Engineer
18316,Kujawski,16834,Software Engineer
18317,Lipski,14335,DevOps Engineer
18318,Dąbrowski,11050,Project Manager
18319,Koral,22614,Senior Data Engineer
18320,Kucharz,12135,Data Engineer
18321,Kujawski,21405,Senior Data Engineer
18322,Sikorski,22601,Senior Data Engineer
18323,Karaś,7921,Junior Data Engineer
18324,Wiśniewski,7034,Junior Data Engineer
18325,Dąbrowski,12335,Data Analyst
18326,Majewski,11259,Data Analyst
18327,Adamski,12168,DevOps Engineer
18328,Kujawa,7378,Junior Data Engineer
18329,Jóźwiak,13232,Data Engineer
18330,Strzelczyk,7621,HR Specialist
18331,Kurek,8455,Junior Data Engineer
18332,Górecki,10049,Project Manager
18333,Nowakowski,6851,HR Specialist
18334,Mazur,10991,Data Engineer
18335,Gwóźdź,15816,Data Engineer
18336,Wójcik,17561,Software Engineer
18337,Malinowski,15807,Software Engineer
18338,Grabowski,8738,Junior Data Engineer
18339,Zawadzki,7937,HR Specialist
18340,Pawlak,5667,HR Specialist
18341,Łuczak,17536,DevOps Engineer
18342,Kopeć,12950,DevOps Engineer
18343,Malinowski,16748,Software Engineer
18344,Malinowski,6515,Junior Data Engineer
18345,Kujawa,16356,DevOps Engineer
18346,Kołodziej,14715,DevOps Engineer
18347,Grabowski,11120,Project Manager
18348,Kisiel,8010,Junior Data Engineer
18349,Malec,12765,Project Manager
18350,Guzik,9563,Data Analyst
18351,Duda,12715,Project Manager
18352,Dąbrowski,14254,Software Engineer
18353,Grzelak,8350,Data Analyst
18354,Ziółkowski,11599,DevOps Engineer
18355,Włodarczyk,8555,Junior Data Engineer
18356,Kaczor,14691,Project Manager
18357,Szczepanik,18951,DevOps Engineer
18358,Krawczyk,14847,Software Engineer
18359,Tkaczyk,13272,Data Engineer
18360,Bąk,12213,DevOps Engineer
18361,Stasiak,11904,Project Manager
18362,Gałązka,8125,Junior Data Engineer
18363,Jaworski,22314,Senior Data Engineer
18364,Lipka,16068,Software Engineer
18365,Koral,7957,HR Specialist
18366,Szulc,25752,Senior Data Engineer
18367,Kubica,13687,DevOps Engineer
18368,Jezierski,12231,Software Engineer
18369,Gacek,13600,Project Manager
18370,Mach,16873,Project Manager
18371,Gwóźdź,17753,DevOps Engineer
18372,Kowalczyk,14955,Data Engineer
18373,Kubiak,6881,HR Specialist
18374,Róg,13509,Software Engineer
18375,Gałązka,11255,Software Engineer
18376,Karpiński,25171,Senior Data Engineer
18377,Zięba,15989,Software Engineer
18378,Konieczny,9632,Data Analyst
18379,Michalak,14567,DevOps Engineer
18380,Jurek,14531,Data Engineer
18381,Filipek,9421,Data Analyst
18382,Lorenc,9554,Data Analyst
18383,Konieczny,24552,Senior Data Engineer
18384,Wróbel,7986,HR Specialist
18385,Kosiński,7219,Junior Data Engineer
18386,Drzewiecki,12883,Data Analyst
18387,Pawłowski,5680,HR Specialist
18388,Śliwa,13804,DevOps Engineer
18389,Kosiński,13920,Project Manager
18390,Strzelczyk,11467,Data Engineer
18391,Wójcik,14210,Data Engineer
18392,Borkowski,5692,HR Specialist
18393,Jasiński,14125,DevOps Engineer
18394,Kosiński,7831,HR Specialist
18395,Pałka,15481,Project Manager
18396,Gajewski,18176,Senior Data Engineer
18397,Guzik,14713,Data Engineer
18398,Jankowski,16433,Software Engineer
18399,Wróbel,15039,Data Engineer
18400,Leśniak,17057,Senior Data Engineer
18401,Kowalski,13824,Software Engineer
18402,Włodarczyk,13232,DevOps Engineer
18403,Kosowski,17771,DevOps Engineer
18404,Pawłowski,12729,Data Analyst
18405,Kędzierski,9206,Software Engineer
18406,Godlewski,11395,Data Analyst
18407,Nowakowski,23092,Senior Data Engineer
18408,Duda,16790,Project Manager
18409,Adamski,7172,Junior Data Engineer
18410,Klimek,14992,Project Manager
18411,Guzik,14880,Data Engineer
18412,Czajkowski,8204,Data Analyst
18413,Tomaszewski,11797,Data Engineer
18414,Garbacz,16282,Software Engineer
18415,Kapusta,13597,Data Engineer
18416,Wieczorek,5117,HR Specialist
18417,Kujawski,11605,Project Manager
18418,Mach,15033,DevOps Engineer
18419,Ziółkowski,10192,Software Engineer
18420,Tkaczyk,18999,DevOps Engineer
18421,Kuczyński,13036,Data Analyst
18422,Kapusta,13739,Data Analyst
18423,Król,8290,Junior Data Engineer
18424,Staszewski,5879,HR Specialist
18425,Szczepanik,16442,Project Manager
18426,Kucharski,13095,Software Engineer
18427,Nowicki,16934,DevOps Engineer
18428,Kołodziej,16355,Project Manager
18429,Adamczyk,11565,Data Analyst
18430,Wróblewski,7078,Junior Data Engineer
18431,Kujawski,14451,Software Engineer
18432,Mazur,15051,Software Engineer
18433,Jurek,8197,Junior Data Engineer
18434,Madej,14344,Software Engineer
18435,Maciejewski,13969,Data Engineer
18436,Kozieł,15837,DevOps Engineer
18437,Karpiński,11428,Project Manager
18438,Marciniak,18982,Senior Data Engineer
18439,Żuk,8746,Data Analyst
18440,Kmiecik,13944,Data Analyst
18441,Lipski,14194,Data Engineer
18442,Strzelczyk,13653,DevOps Engineer
18443,Sawicki,12478,Software Engineer
18444,Kłos,13729,Project Manager
18445,Śliwa,13575,Data Engineer
18446,Brzeziński,12859,Project Manager
18447,Kłos,11066,Project Manager
18448,Maciejewski,12086,Project Manager
18449,Kucharski,10327,Data Engineer
18450,Kijek,13420,Data Engineer
18451,Lipiński,12483,Data Engineer
18452,Kogut,15538,Software Engineer
18453,Godlewski,5993,HR Specialist
18454,Kępa,14486,Data Engineer
18455,Kępa,7610,Junior Data Engineer
18456,Jasiński,13711,Data Engineer
18457,Kasprzak,5811,HR Specialist
18458,Kijek,9845,Data Analyst
18459,Bednarek,7586,HR Specialist
18460,Głowacki,21602,Senior Data Engineer
18461,Kuś,10599,Data Analyst
18462,Krajewski,7494,Junior Data Engineer
18463,Godlewski,8567,Junior Data Engineer
18464,Nowicki,11840,Data Analyst
18465,Woźniak,9795,Data Analyst
18466,Szczepański,11655,Data Analyst
18467,Leśniak,17225,Software Engineer
18468,Kostrzewa,22740,Senior Data Engineer
18469,Lipiński,12530,Project Manager
18470,Szewczyk,7361,Junior Data Engineer
18471,Borkowski,14984,Data Engineer
18472,Adamczyk,17879,DevOps Engineer
18473,Laskowski,13758,DevOps Engineer
18474,Morawski,18858,Senior Data Engineer
18475,Mazur,15772,Software Engineer
18476,Frankowski,15805,DevOps Engineer
18477,Sobolewski,6838,HR Specialist
18478,Strzelczyk,10631,Data Engineer
18479,Kołodziej,9887,Data Analyst
18480,Kołek,13437,Data Analyst
18481,Frankowski,8854,Junior Data Engineer
18482,Kasprzak,10842,Data Analyst
18483,Brzeziński,13066,Project Manager
18484,Król,17945,Senior Data Engineer
18485,Kozak,13863,Software Engineer
18486,Zalewski,18306,Senior Data Engineer
18487,Kostrzewa,17142,Senior Data Engineer
18488,Lipka,10949,Data Analyst
18489,Klimek,7154,HR Specialist
18490,Nowak,14922,Project Manager
18491,Wrona,7673,Junior Data Engineer
18492,Janus,25306,Senior Data Engineer
18493,Baranowski,16548,Project Manager
18494,Sikorski,19850,DevOps Engineer
18495,Kaczmarek,13085,Software Engineer
18496,Lewandowski,6242,HR Specialist
18497,Kubica,6411,Junior Data Engineer
18498,Strzelczyk,17964,Software Engineer
18499,Kujawa,17924,Senior Data Engineer
18500,Stasiak,10438,Data Analyst
18501,Zieliński,14852,DevOps Engineer
18502,Kulpa,6244,HR Specialist
18503,Kmiecik,16276,Software Engineer
18504,Jabłoński,11462,Project Manager
18505,Kurek,8243,Junior Data Engineer
18506,Lewandowski,5052,HR Specialist
18507,Gołąb,5030,HR Specialist
18508,Gąsior,13318,Data Analyst
18509,Klimas,6098,HR Specialist
18510,Kogut,12476,Data Engineer
18511,Kucharski,12767,Data Engineer
18512,Kalina,8870,Data Analyst
18513,Kępa,15540,Software Engineer
18514,Kaczmarczyk,13870,Project Manager
18515,Kucharski,16786,Software Engineer
18516,Bąk,19955,Senior Data Engineer
18517,Klimek,12920,Data Engineer
18518,Klimas,25360,Senior Data Engineer
18519,Szczepanik,15439,DevOps Engineer
18520,Czajka,11331,Data Analyst
18521,Laskowski,19455,DevOps Engineer
18522,Jaworski,10783,Data Engineer
18523,Malik,13818,DevOps Engineer
18524,Wrona,23758,Senior Data Engineer
18525,Knap,13198,Data Analyst
18526,Adamski,19102,Senior Data Engineer
18527,Lach,7960,Junior Data Engineer
18528,Zieliński,15987,Data Engineer
18529,Knap,8024,Junior Data Engineer
18530,Żuk,15900,DevOps Engineer
18531,Woźniak,15974,Software Engineer
18532,Walczak,10223,Software Engineer
18533,Lorenc,9543,Software Engineer
18534,Domagała,10726,Data Analyst
18535,Frankowski,15798,Project Manager
18536,Sobczak,11476,Project Manager
18537,Garbacz,10993,Project Manager
18538,Ziółkowski,5544,HR Specialist
18539,Czajka,15742,Project Manager
18540,Pawłowski,11760,Data Analyst
18541,Adamski,6694,Junior Data Engineer
18542,Kubiak,11848,Project Manager
18543,Kołek,10446,Data Analyst
18544,Szulc,14871,Project Manager
18545,Malinowski,6917,HR Specialist
18546,Kubica,15919,Project Manager
18547,Kisiel,10841,Data Engineer
18548,Górski,12290,Data Analyst
18549,Sawicki,13731,Project Manager
18550,Lipka,14129,Software Engineer
18551,Król,6892,Junior Data Engineer
18552,Strzelczyk,15822,Project Manager
18553,Strzelczyk,17880,Software Engineer
18554,Chmielewski,15877,Project Manager
18555,Lipka,13436,Data Engineer
18556,Mikołajczyk,5629,HR Specialist
18557,Kubala,16107,DevOps Engineer
18558,Drzewiecki,14013,Data Engineer
18559,Kasperek,9627,Data Analyst
18560,Mikołajczyk,13576,DevOps Engineer
18561,Kowalczyk,13620,Data Engineer
18562,Godlewski,17131,DevOps Engineer
18563,Śliwa,6922,HR Specialist
18564,Ziółkowski,11794,Project Manager
18565,Kowalski,11810,Data Analyst
18566,Śliwa,9198,Software Engineer
18567,Dziedzic,12787,Data Analyst
18568,Bieniek,6016,Junior Data Engineer
18569,Walczak,11090,DevOps Engineer
18570,Kalina,16458,Project Manager
18571,Czajka,11829,Data Engineer
18572,Bednarek,12019,Software Engineer
18573,Kupiec,6010,HR Specialist
18574,Duda,12563,Data Engineer
18575,Kwiecień,13088,Data Analyst
18576,Jankowski,6551,HR Specialist
18577,Kołodziej,15782,Project Manager
18578,Kasperek,12410,Data Analyst
18579,Wasilewski,11878,DevOps Engineer
18580,Marciniak,8836,Junior Data Engineer
18581,Kulpa,16741,Software Engineer
18582,Bednarek,13353,Data Analyst
18583,Gwóźdź,7887,HR Specialist
18584,Szczepanik,8666,Data Analyst
18585,Wróblewski,10380,Data Analyst
18586,Wójcik,6129,Junior Data Engineer
18587,Malik,22520,Senior Data Engineer
18588,Kozak,7093,HR Specialist
18589,Szymański,12614,Software Engineer
18590,Sawicki,10385,Software Engineer
18591,Madejski,25085,Senior Data Engineer
18592,Stępień,11689,DevOps Engineer
18593,Chmielewski,14848,Software Engineer
18594,Jezierski,7031,HR Specialist
18595,Guzik,8130,Data Analyst
18596,Filipek,17895,Senior Data Engineer
18597,Janus,14953,Data Engineer
18598,Gałązka,13571,Project Manager
18599,Jasiński,7135,Junior Data Engineer
18600,Michalak,25782,Senior Data Engineer
18601,Jasiński,15265,DevOps Engineer
18602,Kosowski,6553,HR Specialist
18603,Lis,15239,Data Engineer
18604,Koral,17603,DevOps Engineer
18605,Jakubowski,9946,Software Engineer
18606,Duda,11667,Data Engineer
18607,Sikorski,7445,HR Specialist
18608,Szymański,7392,HR Specialist
18609,Czajka,13489,Project Manager
18610,Borkowski,24096,Senior Data Engineer
18611,Łukasik,8162,Junior Data Engineer
18612,Nowak,25839,Senior Data Engineer
18613,Kulig,10640,Project Manager
18614,Jabłoński,18535,Senior Data Engineer
18615,Kasperek,12307,Data Engineer
18616,Duda,5788,HR Specialist
18617,Stępień,6364,Junior Data Engineer
18618,Gąsior,14203,Data Engineer
18619,Włodarczyk,14417,Software Engineer
18620,Sobczak,13649,Software Engineer
18621,Małecki,12651,Project Manager
18622,Majewski,10357,Project Manager
18623,Idzik,14995,DevOps Engineer
18624,Kubala,9084,Data Analyst
18625,Kubat,6305,HR Specialist
18626,Lipka,16634,DevOps Engineer
18627,Konieczny,12113,DevOps Engineer
18628,Kwiecień,12560,Software Engineer
18629,Łukasik,8567,Junior Data Engineer
18630,Górski,19824,Senior Data Engineer
18631,Jóźwiak,15655,Project Manager
18632,Kędzierski,9582,Data Analyst
18633,Kuciński,11367,Data Engineer
18634,Kołek,11666,Data Analyst
18635,Tomaszewski,17248,Senior Data Engineer
18636,Sawicki,8431,Junior Data Engineer
18637,Makowski,18384,Senior Data Engineer
18638,Czajka,15730,Software Engineer
18639,Lipka,10864,Software Engineer
18640,Kosiński,16986,Project Manager
18641,Kuciński,21436,Senior Data Engineer
18642,Kapusta,15102,Data Engineer
18643,Kołek,15156,DevOps Engineer
18644,Kogut,7248,HR Specialist
18645,Piotrowski,20415,Senior Data Engineer
18646,Drzewiecki,13364,Software Engineer
18647,Krupa,7781,Junior Data Engineer
18648,Ostrowski,10765,Data Engineer
18649,Lach,13156,DevOps Engineer
18650,Szczepański,17162,Senior Data Engineer
18651,Pałka,12210,Project Manager
18652,Gwóźdź,16572,Software Engineer
18653,Włodarczyk,16935,Software Engineer
18654,Baran,6314,Junior Data Engineer
18655,Madej,12325,Data Analyst
18656,Ciesielski,12139,Data Analyst
18657,Pałka,12654,Project Manager
18658,Kamiński,15454,Project Manager
18659,Tkaczyk,12513,DevOps Engineer
18660,Bieniek,10996,Software Engineer
18661,Knap,18543,Senior Data Engineer
18662,Łukasik,21797,Senior Data Engineer
18663,Bąk,13099,DevOps Engineer
18664,Żuk,17950,Software Engineer
18665,Kuciński,14556,DevOps Engineer
18666,Kucharski,20881,Senior Data Engineer
18667,Jabłoński,20626,Senior Data Engineer
18668,Sikorski,9078,Software Engineer
18669,Kulpa,25787,Senior Data Engineer
18670,Borkowski,14042,Project Manager
18671,Zieliński,9625,Data Analyst
18672,Kulig,13812,Project Manager
18673,Domagała,18216,Senior Data Engineer
18674,Krawczyk,7087,HR Specialist
18675,Wieczorek,15528,DevOps Engineer
18676,Bieniek,19170,Senior Data Engineer
18677,Lis,11380,Data Analyst
18678,Koral,25818,Senior Data Engineer
18679,Hajduk,6897,Junior Data Engineer
18680,Zalewski,6212,HR Specialist
18681,Gacek,9762,Software Engineer
18682,Lipka,13249,Data Engineer
18683,Michalski,14881,Project Manager
18684,Gałązka,17502,Software Engineer
18685,Gwóźdź,16056,Software Engineer
18686,Wiśniewski,12096,DevOps Engineer
18687,Pałka,16353,Software Engineer
18688,Komorowski,15203,Data Engineer
18689,Kałuża,11932,Data Engineer
18690,Jaworski,13339,Data Analyst
18691,Koral,6092,Junior Data Engineer
18692,Czajka,11975,Data Analyst
18693,Kopeć,7955,HR Specialist
18694,Lach,6127,Junior Data Engineer
18695,Tokarz,23593,Senior Data Engineer
18696,Duda,15343,Data Engineer
